date,content,counts
2017-10-16,"A central bank canseek to influence the level and shape of the yield curve by acting on two components of the longterm interest rates: the expectations component and the term premium. The expectationscomponent reflects market expectations of the future path of the policy-controlled short-terminterest rates. All else equal, a path that is lower and shallower tends to produce a lower level oflong-term yields and a flatter curve. The term premium reflects the excess return that an investordemands as a compensation for holding a bond with a long, say ten-year, residual maturityrelative to rolling over a short-term bill for ten years.",100
2014-01-31,"Looking beyond the crisis: a broader political perspective on euro area governanceThe Four Presidents’ Report identified “political union” as one of the four building blocks ofa genuine EMU. It put forward a number of proposals. Some of the momentum behind thediscussions on these proposals has been lost. It is not up to the ECB to promote them. Butwe would welcome policy-makers restarting the discussion and not shying away fromambitious proposals. I see several possible options to enhance effectiveness and legitimacy:•First, by strengthening the European dimension of multilateral surveillance.",88
2018-02-06,"First, finalising the banking reform package is crucial. The package will strengthen the regulatoryarchitecture, reduce risks in the banking sector and increase financial stability. It will introduceinto Union law new internationally agreed standards, such as the leverage ratio requirement,which will restrict the build-up of excessive leverage in the banking system, and the standard ontotal loss-absorbing capacity (TLAC), which will strengthen the resolution framework. As colegislators, you play a vital role in this process.",73
2011-10-21,"The ECB Governing Council isproviding a very solid anchoring of price stability over the next ten years, fully in line with ourdefinition: less than 2%, but close to 2%. BIS central bankers’ speeches1The Euro is a credible currency that has proved to be a very good store of value, backed bysolid fundamentals. These last eight years can be divided into two periods of equal duration. The first four years were challenging, but no more or less than usual for a central banker.",82
2011-08-29,"For the euro area it is very common to look at the level of its constituent countries and focuson the diversity among individual states, because a number of economic policy choices thataffect productivity are national. For the US, this exercise is rarely done. It is often conjectured that relevant policies arefederal, and therefore by definition uniform at the level of the federation; and that, as aconsequence, differences at the state level play much less a role. In essence, it is thereforeoften assumed that the US economy would be significantly more homogeneous than theeconomy of the euro area.",97
2015-04-17,"Without getting into a discussion about the merits and risks of unconventional monetarypolicy, it is probably fair to say that the zero lower bound on nominal interest ratescomplicates the task of monetary policy in trying to stabilise large shocks. Financial crisesare some of the largest peace-time negative shocks to hit market economies and our abilityto use monetary policy in order to deal with them ‘ex-post’ would be impaired in a secularstagnation world. This makes the role of regulation in avoiding financial crises more important than ever.",86
2017-03-29,"G20 leaders agreed in 2009 that all OTC derivatives contracts should be reported to traderepositories as part of their commitment to reform OTC derivatives markets. The aim was andremains to improve transparency, mitigate systemic risk and prevent market abuse. Today, rules for trade reporting (TR) are in place in most jurisdictions and, worldwide, more than90% of trades are reported to trade repositories. Trade reporting has therefore increased thetransparency of OTC derivatives markets for authorities with access to TR data. And it hasenhanced authorities’ ability to identify and monitor systemic risk.",90
2010-09-20,"By the same token, the probability of asimultaneous default of two or more large and complex euro area banking groups, asmeasured by the indicator of systemic risk reported in chart 5, rose sharply on 7 May. Money market volatility also surged (see chart 6): implied volatility on three-month interestrate futures went up in early May for contracts expiring six months (second contract) and12 months (fourth contract) ahead. Regarding the foreign exchange markets, between mid-February and 7 May, the eurodepreciated by 7% against the dollar, from USD 1.36 to 1.27 per euro.",91
2012-05-04,"Ensuring sound fiscal balances, financial stability and competitiveness in all euro areacountries is in our common interest. We are now at your disposal for questions. BIS central bankers’ speeches3",29
2019-10-18,"The services and construction sectorsshow ongoing resilience and the euro area expansion is also supported by favourable financingconditions, further employment gains and rising wages, the mildly expansionary euro area fiscalstance and the ongoing – albeit somewhat slower – growth in global activity. Since the IMF Spring Meetings in April 2019, short-term economic projections have been reviseddownwards. The latest ECB staff macroeconomic projections for the euro area, published inSeptember, put annual real GDP growth at 1.1% in 2019, 1.2% in 2020 and 1.4% in 2021.",84
2016-06-14,"In this context, theECB’s responsibility is quite limited. It is to provide reassurance on the possible impact of aBrexit, if that came about – which we hope not – on the confidence of economic players andon the stability of the financial markets. From that perspective, the ECB is preparing itself forall eventualities, as it has always done in such circumstances, and preparing to take steps tostabilise the markets, notably by providing liquidity, as we have always done in suchcircumstances. It’s simply what we do. So a Brexit could have an impact on the ECB’s monetary policy?",96
2009-10-22,"The increase in margins was particularly pronounced in 2008, but was lower in2009, as illustrated by Chart 3. Besides the increase in margins, the non-interest terms andconditions of bank loans were also tightened considerably by banks. As examples, let memention the increasing collateral requirements and loan covenants, as well as rises in noninterest charges. This is in line with evidence from a survey on the access to finance of SMEs in the euro area,which I will shortly discuss in more detail.",81
